,Country Name,Country Code,Year,Continent,World Regions (UN SDG Definition),Regime Type (RoW Measure Definition),"Population, total - SP.POP.TOTL",Access to electricity (% of population) - EG.ELC.ACCS.ZS,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,Renewable energy consumption (% of total final energy consumption) - EG.FEC.RNEW.ZS,Renewable electricity output (% of total electricity output) - EG.ELC.RNEW.ZS,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,Income Classification (World Bank Definition),Individuals using the Internet (% of population) - IT.NET.USER.ZS,power_soec,power_f,suffrage_f,dmr_f,Gini index (World Bank estimate) - SI.POV.GINI
12,Aruba,ABW,2012,North America,Latin America and Caribbean,,102565.0,100.0,2534636872.0,24712.49326,6.8558998110000005,14.91525424,,,High income,74.0,,,,,
13,Aruba,ABW,2013,North America,Latin America and Caribbean,,103165.0,100.0,2727849721.0,26441.61994,6.889699936,14.91218619,,,High income,78.9,,,,,
14,Aruba,ABW,2014,North America,Latin America and Caribbean,,103776.0,100.0,2790849162.0,26893.011510000004,6.927499771,15.09927995,,,High income,83.78,,,,,
15,Aruba,ABW,2015,North America,Latin America and Caribbean,,104339.0,100.0,2962905028.0,28396.90842,6.728000164,14.85616144,,,High income,88.66122693,,,,,
16,Aruba,ABW,2016,North America,Latin America and Caribbean,,104865.0,100.0,2983636872.0,28452.17061,6.9945998189999985,,,,High income,93.54245387,,,,,
17,Aruba,ABW,2017,North America,Latin America and Caribbean,,105361.0,100.0,3092430168.0,29350.80502,6.6992998120000005,,,,High income,97.17,,,,,
18,Aruba,ABW,2018,North America,Latin America and Caribbean,,105846.0,100.0,3202188607.0,30253.279360000004,8.024100304,,,,High income,,,,,,
19,Angola,AGO,2000,Africa,Sub-Saharan Africa,Closed Autocracy,,,9129634978.0,556.8386317000002,73.44110107,63.11418685,62.5,15.45454545,Low income,,0.3670000000000001,-0.198,100.0,-1.208,52.0
20,Angola,AGO,2001,Africa,Sub-Saharan Africa,Closed Autocracy,16945753.0,20.0,8936063723.0,527.3335285,72.33730316,62.08791209,62.5,15.45454545,Low income,0.13601386699999998,-0.127,-0.198,100.0,-1.072,
21,Angola,AGO,2002,Africa,Sub-Saharan Africa,Closed Autocracy,17519418.0,26.38386917,15285594828.0,872.4944418,70.42099762,64.7592068,62.5,15.45454545,Low income,0.270376746,-0.63,0.208,100.0,0.014,
22,Angola,AGO,2003,Africa,Sub-Saharan Africa,Closed Autocracy,18121477.0,27.4656353,17812705294.0,982.9610078,65.14040375,62.20551378,62.5,15.45454545,Low income,0.370682065,-0.63,0.578,100.0,0.531,
23,Angola,AGO,2004,Africa,Sub-Saharan Africa,Closed Autocracy,18758138.0,28.53676033,23552052408.0,1255.564513,61.91569901,78.40501792,62.5,15.0,Lower-middle income,0.464814618,-0.63,0.578,100.0,0.531,
24,Angola,AGO,2005,Africa,Sub-Saharan Africa,Closed Autocracy,19433604.0,29.59622383,36970918699.0,1902.42215,68.37830353,79.64824121,62.5,15.0,Lower-middle income,1.143366827,-0.63,0.578,100.0,0.531,
25,Angola,AGO,2006,Africa,Sub-Saharan Africa,Closed Autocracy,20149905.0,30.64655495,52381006892.0,2599.565948,62.12730026,80.61101028,62.5,15.0,Lower-middle income,1.5,-0.63,0.578,100.0,0.531,
26,Angola,AGO,2007,Africa,Sub-Saharan Africa,Closed Autocracy,20905360.0,37.5,65266452081.0,3121.996085,58.49160004,77.61889959999998,62.5,15.0,Lower-middle income,1.7,-0.63,0.578,100.0,0.531,
27,Angola,AGO,2008,Africa,Sub-Saharan Africa,Closed Autocracy,21695636.0,38.49,88538611205.0,4080.941034,54.88209915,75.40904716,62.5,37.27272727,Lower-middle income,1.9,-0.63,0.578,100.0,0.531,42.7
28,Angola,AGO,2009,Africa,Sub-Saharan Africa,Closed Autocracy,22514275.0,33.80418396,70307163678.0,3122.781599,52.41389847,65.34318902,62.5,38.63636364,Lower-middle income,2.3,-0.63,0.73,100.0,0.531,
29,Angola,AGO,2010,Africa,Sub-Saharan Africa,Electoral Autocracy,23356247.0,34.87972641,83799496611.0,3587.883645000001,50.76480103,67.95742338,62.5,38.63636364,Lower-middle income,2.8,-0.63,0.73,100.0,0.7290000000000001,
30,Angola,AGO,2011,Africa,Sub-Saharan Africa,Electoral Autocracy,24220660.0,34.6,111790000000.0,4615.4682189999985,49.23920059,70.90780393,65.0,38.18181818,Upper-middle income,3.1,-0.63,0.73,100.0,0.7290000000000001,
31,Angola,AGO,2012,Africa,Sub-Saharan Africa,Electoral Autocracy,25107925.0,37.10102463,128053000000.0,5100.097027000002,49.44329834,60.79948420000001,70.625,34.09090909,Upper-middle income,6.5,-0.63,0.73,100.0,0.7290000000000001,
32,Angola,AGO,2013,Africa,Sub-Saharan Africa,Electoral Autocracy,26015786.0,38.24899292,136710000000.0,5254.881126,47.93849945,58.02093476,70.625,34.09090909,Upper-middle income,8.9,-0.63,0.901,100.0,0.7290000000000001,
33,Angola,AGO,2014,Africa,Sub-Saharan Africa,Electoral Autocracy,26941773.0,32.0,145712000000.0,5408.4117,48.2112999,53.17510549,70.625,36.81818182,Upper-middle income,21.4,-0.63,0.901,100.0,0.7290000000000001,
34,Angola,AGO,2015,Africa,Sub-Saharan Africa,Electoral Autocracy,27884380.0,42.0,116194000000.0,4166.9798329999985,47.81560135,53.17492831,70.625,36.81818182,Upper-middle income,29.0,-0.63,0.901,100.0,0.7290000000000001,
35,Angola,AGO,2016,Africa,Sub-Saharan Africa,Electoral Autocracy,28842482.0,41.79737854,101124000000.0,3506.073128,49.0080986,,73.125,36.81818182,Lower-middle income,29.0,-0.63,0.901,100.0,0.7290000000000001,
36,Angola,AGO,2017,Africa,Sub-Saharan Africa,Electoral Autocracy,29816769.0,43.0016098,122124000000.0,4095.810057,56.18050003,,73.125,30.45454545,Lower-middle income,32.0,-0.63,1.486,100.0,1.001,
37,Angola,AGO,2018,Africa,Sub-Saharan Africa,Electoral Autocracy,30809787.0,45.29,101353000000.0,3289.643995,56.78549957,,73.125,30.45454545,Lower-middle income,35.0,-0.63,1.862,100.0,1.001,51.3
38,Albania,ALB,2000,Europe,Europe and Northern America,Electoral Autocracy,,100.0,3480355189.0,1126.683318,41.44499969,96.14901632,80.0,5.161290323,Lower-middle income,,0.441,1.005,100.0,1.006,
39,Albania,ALB,2001,Europe,Europe and Northern America,Electoral Autocracy,3060173.0,100.0,3922099471.0,1281.659393,39.12530136,95.30831099,80.0,5.714285714,Lower-middle income,0.325798377,0.441,1.192,100.0,1.006,
40,Albania,ALB,2002,Europe,Europe and Northern America,Electoral Autocracy,3051010.0,100.0,4348070165.0,1425.124849,35.89580154,93.95398609,80.0,5.714285714,Lower-middle income,0.390081273,0.441,1.321,100.0,1.006,31.7
41,Albania,ALB,2003,Europe,Europe and Northern America,Electoral Autocracy,3039616.0,100.0,5611492283.0,1846.118813,33.75170135,97.85657051,80.0,5.714285714,Lower-middle income,0.971900415,0.441,1.321,100.0,1.152,
42,Albania,ALB,2004,Europe,Europe and Northern America,Electoral Autocracy,3026939.0,100.0,7184681399.0,2373.579844000001,35.93470001,97.5026757,80.0,6.428571429,Lower-middle income,2.420387798,0.441,1.321,100.0,1.152,
43,Albania,ALB,2005,Europe,Europe and Northern America,Electoral Democracy,3011487.0,100.0,8052075642.0,2673.787283,36.86830139,98.71394452,80.0,7.142857143,Lower-middle income,6.043890864,0.124,1.321,100.0,1.152,30.6
44,Albania,ALB,2006,Europe,Europe and Northern America,Electoral Democracy,2992547.0,100.0,8896073938.0,2972.743265,31.7098999,98.31643736,80.0,7.142857143,Lower-middle income,9.609991316,0.124,1.321,100.0,1.152,
45,Albania,ALB,2007,Europe,Europe and Northern America,Electoral Democracy,2970017.0,100.0,10677321490.0,3595.0371630000004,32.10039902,97.48251748,82.5,7.142857143,Lower-middle income,15.03611541,0.124,1.321,100.0,1.152,
46,Albania,ALB,2008,Europe,Europe and Northern America,Electoral Democracy,2947314.0,100.0,12881354104.0,4370.540127,35.91189957,100.0,82.5,7.142857143,Lower-middle income,23.86,0.124,1.321,100.0,1.152,30.0
47,Albania,ALB,2009,Europe,Europe and Northern America,Electoral Democracy,2927519.0,100.0,12044223353.0,4114.140114,37.21519852,99.98077662,82.5,16.42857143,Upper-middle income,41.2,0.124,1.321,100.0,1.152,
48,Albania,ALB,2010,Europe,Europe and Northern America,Electoral Democracy,2913021.0,100.0,11926928506.0,4094.350334,37.11370087,99.98678647,85.625,16.42857143,Upper-middle income,45.0,0.124,1.321,100.0,1.152,
49,Albania,ALB,2011,Europe,Europe and Northern America,Electoral Democracy,2905195.0,100.0,12890765324.0,4437.142885,35.96110153,98.59222143,85.625,15.71428571,Lower-middle income,47.0,0.124,1.321,100.0,1.152,
50,Albania,ALB,2012,Europe,Europe and Northern America,Electoral Democracy,2900401.0,99.9,12319830252.0,4247.629984,40.04669952,100.0,85.625,15.71428571,Upper-middle income,49.4,0.124,1.321,100.0,1.152,29.0
51,Albania,ALB,2013,Europe,Europe and Northern America,Electoral Democracy,2895092.0,100.0,12776217195.0,4413.060861,41.28699875,100.0,85.625,17.85714286,Upper-middle income,51.8,-0.006999999999999999,1.321,100.0,1.4380000000000002,
52,Albania,ALB,2014,Europe,Europe and Northern America,Electoral Democracy,2889104.0,99.95,13228144008.0,4578.6319939999985,38.69739914,100.0,85.625,20.0,Upper-middle income,54.3,-0.006999999999999999,1.321,100.0,1.4380000000000002,34.6
53,Albania,ALB,2015,Europe,Europe and Northern America,Electoral Democracy,2880703.0,99.98,11386846319.0,3952.801215,38.62559891,100.0,85.625,20.71428571,Upper-middle income,56.9,-0.006999999999999999,1.321,100.0,1.4380000000000002,32.9
54,Albania,ALB,2016,Europe,Europe and Northern America,Electoral Democracy,2876101.0,99.89,11861200797.0,4124.055726,39.58729935,,91.25,22.85714286,Upper-middle income,59.6,-0.006999999999999999,1.321,100.0,1.4380000000000002,33.7
55,Albania,ALB,2017,Europe,Europe and Northern America,Electoral Democracy,2873457.0,99.89,13019693451.0,4531.020806,37.21979904,,91.25,27.85714286,Upper-middle income,62.4,-0.006999999999999999,1.321,100.0,1.4380000000000002,33.2
56,Albania,ALB,2018,Europe,Europe and Northern America,Electoral Democracy,2866376.0,100.0,15147020535.0,5284.3801840000015,38.26639938,,91.25,27.85714286,Upper-middle income,65.4,-0.401,1.321,100.0,1.4380000000000002,
57,United Arab Emirates,ARE,2000,Asia,Northern Africa and Western Asia,Closed Autocracy,,100.0,104337000000.0,33291.36625,0.076399997,0.0,26.875,0.0,High income,,-0.8809999999999999,-1.515,0.0,-0.888,
58,United Arab Emirates,ARE,2001,Asia,Northern Africa and Western Asia,Closed Autocracy,3302722.0,100.0,103312000000.0,31280.75586,0.0647,0.0,26.875,0.0,High income,26.2717542,-0.8809999999999999,-1.515,0.0,-0.888,
59,United Arab Emirates,ARE,2002,Asia,Northern Africa and Western Asia,Closed Autocracy,3478769.0,100.0,109816000000.0,31567.54631,0.066500001,0.0,26.875,0.0,High income,28.31648531,-0.8809999999999999,-1.515,0.0,-0.888,
60,United Arab Emirates,ARE,2003,Asia,Northern Africa and Western Asia,Closed Autocracy,3711931.0,100.0,124346000000.0,33499.10278,0.066299997,0.0,26.875,0.0,High income,29.47795341,-0.8809999999999999,-1.515,0.0,-0.888,
61,United Arab Emirates,ARE,2004,Asia,Northern Africa and Western Asia,Closed Autocracy,4068577.0,100.0,147824000000.0,36333.18733,0.100400001,0.0,26.875,0.0,High income,30.13129617,-0.8809999999999999,-1.32,0.0,-0.888,
62,United Arab Emirates,ARE,2005,Asia,Northern Africa and Western Asia,Closed Autocracy,4588222.0,100.0,180617000000.0,39365.45964,0.1052,0.0,26.875,0.0,High income,40.0,-0.8809999999999999,-1.32,0.0,-0.888,
63,United Arab Emirates,ARE,2006,Asia,Northern Africa and Western Asia,Closed Autocracy,5300172.0,100.0,222117000000.0,41907.42147,0.117399998,0.0,26.875,5.0,High income,52.0,-0.8809999999999999,-1.32,0.034,-0.888,
64,United Arab Emirates,ARE,2007,Asia,Northern Africa and Western Asia,Closed Autocracy,6168846.0,100.0,257916000000.0,41809.46216,0.112800002,0.0,26.875,22.5,High income,61.0,-0.8809999999999999,-1.32,0.78,-0.888,
65,United Arab Emirates,ARE,2008,Asia,Northern Africa and Western Asia,Closed Autocracy,7089486.0,100.0,315475000000.0,44498.94051,0.110799998,0.0,26.875,22.5,High income,63.0,-0.8809999999999999,-1.32,0.78,-0.888,
66,United Arab Emirates,ARE,2009,Asia,Northern Africa and Western Asia,Closed Autocracy,7917368.0,100.0,253547000000.0,32024.19778,0.107699998,0.0,26.875,22.5,High income,64.0,-0.8809999999999999,-1.32,0.78,-0.888,
67,United Arab Emirates,ARE,2010,Asia,Northern Africa and Western Asia,Closed Autocracy,8549998.0,100.0,289787000000.0,33893.263869999995,0.109399997,0.0,26.875,22.5,High income,68.0,-0.8809999999999999,-1.32,0.78,-0.888,
68,United Arab Emirates,ARE,2011,Asia,Northern Africa and Western Asia,Closed Autocracy,8946778.0,100.0,350666000000.0,39194.67224,0.109200001,0.0,26.875,17.5,High income,78.0,-0.8809999999999999,-1.32,4.908,-0.888,
69,United Arab Emirates,ARE,2012,Asia,Northern Africa and Western Asia,Closed Autocracy,9141598.0,100.0,374591000000.0,40976.49075,0.101800002,0.0,26.875,17.5,High income,84.99999150000002,-0.8809999999999999,-1.32,16.0,-0.888,
70,United Arab Emirates,ARE,2013,Asia,Northern Africa and Western Asia,Closed Autocracy,9197908.0,100.0,390108000000.0,42412.6395,0.102899998,0.094142456,26.875,17.5,High income,88.0,-0.625,-1.32,16.0,-0.888,32.5
71,United Arab Emirates,ARE,2014,Asia,Northern Africa and Western Asia,Closed Autocracy,9214182.0,100.0,403137000000.0,43751.80565,0.137700006,0.258307016,26.875,17.5,High income,90.4,-0.625,-1.32,16.0,-0.888,
72,United Arab Emirates,ARE,2015,Asia,Northern Africa and Western Asia,Closed Autocracy,9262896.0,100.0,358135000000.0,38663.4005,0.12639999400000002,0.232401112,26.875,22.5,High income,90.5,-0.625,-1.32,18.268,-0.888,
73,United Arab Emirates,ARE,2016,Asia,Northern Africa and Western Asia,Closed Autocracy,9360975.0,100.0,357045000000.0,38141.86713,0.123000003,,26.875,22.5,High income,90.60000732,-0.625,-1.32,25.2,-0.888,
74,United Arab Emirates,ARE,2017,Asia,Northern Africa and Western Asia,Closed Autocracy,9487206.0,100.0,385606000000.0,40644.79119,0.17319999600000002,,26.875,22.5,High income,94.81992254,-0.625,-1.041,25.2,-0.888,
75,United Arab Emirates,ARE,2018,Asia,Northern Africa and Western Asia,Closed Autocracy,9630966.0,100.0,422215000000.0,43839.32449,0.259200007,,30.0,22.5,High income,98.45000178,-0.625,-1.041,25.2,-0.888,26.0
76,Argentina,ARG,2000,South America,Latin America and Caribbean,Electoral Democracy,,95.44536591,284204000000.0,7708.099115000001,9.847999573,33.15937465,65.0,26.45914397,Upper-middle income,,1.5019999999999998,1.579,100.0,1.995,51.1
77,Argentina,ARG,2001,South America,Latin America and Caribbean,Electoral Democracy,37275644.0,95.51106347,268697000000.0,7208.373114,11.50889969,41.82988404,65.0,,Upper-middle income,9.780807285,1.5019999999999998,1.579,100.0,1.995,53.3
78,Argentina,ARG,2002,South America,Latin America and Caribbean,Electoral Democracy,37681743.0,96.04728699,97724004252.0,2593.404563,11.61909962,43.56387577,65.0,30.73929961,Upper-middle income,10.88212438,1.5019999999999998,1.579,100.0,1.995,53.8
79,Argentina,ARG,2003,South America,Latin America and Caribbean,Electoral Democracy,38087866.0,96.33463287,127587000000.0,3349.8063,10.82460022,37.95175486,65.0,30.73929961,Upper-middle income,11.91369655,1.5019999999999998,1.579,100.0,1.995,50.9
80,Argentina,ARG,2004,South America,Latin America and Caribbean,Electoral Democracy,38491970.0,96.61134338,164658000000.0,4277.721573,9.288700104,31.63480258,70.0,33.7254902,Upper-middle income,16.03668411,1.5019999999999998,1.579,100.0,1.995,48.4
81,Argentina,ARG,2005,South America,Latin America and Caribbean,Electoral Democracy,38892924.0,96.87638855,198737000000.0,5109.852245,9.643500328,33.52513485,70.0,36.18677043,Upper-middle income,17.72058337,1.5019999999999998,1.579,100.0,1.995,47.7
82,Argentina,ARG,2006,South America,Latin America and Caribbean,Electoral Democracy,39289876.0,97.13230133,232557000000.0,5919.012338,9.180100441,37.1276984,70.0,35.01945525,Upper-middle income,20.9272021,1.5019999999999998,1.579,100.0,1.995,46.3
83,Argentina,ARG,2007,South America,Latin America and Caribbean,Electoral Democracy,39684303.0,97.38516998,287531000000.0,7245.446856999999,7.716599941,29.84220081,70.0,40.0,Upper-middle income,25.94663294,1.536,1.972,100.0,1.995,46.2
84,Argentina,ARG,2008,South America,Latin America and Caribbean,Electoral Democracy,40080159.0,97.64122009,361558000000.0,9020.873323,7.6511001589999985,26.3437058,70.0,40.0,Upper-middle income,28.11262348,1.536,2.0,100.0,1.995,44.9
85,Argentina,ARG,2009,South America,Latin America and Caribbean,Electoral Democracy,40482786.0,97.90668488,332976000000.0,8225.137583,8.590999603,28.92740262,73.125,38.52140078,Upper-middle income,34.0,1.536,2.0,100.0,1.995,43.7
86,Argentina,ARG,2010,South America,Latin America and Caribbean,Electoral Democracy,40788453.0,98.82,423627000000.0,10385.96443,8.787500381000001,28.5854562,73.125,38.52140078,Upper-middle income,45.0,1.536,2.0,100.0,1.995,43.6
87,Argentina,ARG,2011,South America,Latin America and Caribbean,Electoral Democracy,41261490.0,99.0802002,530163000000.0,12848.8642,8.833100319,32.30597044,73.125,37.35408560000001,Upper-middle income,51.0,1.536,2.0,100.0,2.028,42.6
88,Argentina,ARG,2012,South America,Latin America and Caribbean,Electoral Democracy,41733271.0,99.22885895,545982000000.0,13082.66433,8.611800194,29.26113532,73.125,37.35408560000001,Upper-middle income,55.8,1.504,2.0,100.0,2.028,41.3
89,Argentina,ARG,2013,South America,Latin America and Caribbean,Electoral Democracy,42202935.0,99.35622406,552025000000.0,13080.25473,8.913399696,31.48449072,73.125,36.57587549,Upper-middle income,59.9,1.504,1.685,100.0,2.028,40.9
90,Argentina,ARG,2014,South America,Latin America and Caribbean,Electoral Democracy,42669500.0,100.0,526320000000.0,12334.79825,9.781399727,31.576204200000006,73.125,36.57587549,High income,64.7,1.504,1.685,100.0,2.028,41.6
91,Argentina,ARG,2015,South America,Latin America and Caribbean,Electoral Democracy,43131966.0,99.81168365,594749000000.0,13789.060419999998,9.393199921,28.14006912,73.125,,Upper-middle income,68.04306411,1.504,1.685,100.0,2.028,
92,Argentina,ARG,2016,South America,Latin America and Caribbean,Electoral Democracy,43590368.0,99.95601654,557531000000.0,12790.24247,9.376899718999999,,73.125,35.79766537,Upper-middle income,70.96898082,1.156,1.59,100.0,1.259,42.0
93,Argentina,ARG,2017,South America,Latin America and Caribbean,Electoral Democracy,44044811.0,100.0,643629000000.0,14613.04182,10.36849976,,73.125,38.13229572,Upper-middle income,74.29490687,1.209,1.429,100.0,1.821,41.1
94,Argentina,ARG,2018,South America,Latin America and Caribbean,Electoral Democracy,44494502.0,100.0,517627000000.0,11633.49801,10.52079964,,76.25,38.91050584,Upper-middle income,,1.331,1.429,100.0,1.836,41.3
95,Armenia,ARM,2000,Asia,Northern Africa and Western Asia,Electoral Autocracy,,98.9,1911563669.0,622.7409229,7.162899971,21.16482041,58.75,3.053435115,Low income,,-0.747,-0.317,100.0,2.055,
96,Armenia,ARM,2001,Asia,Northern Africa and Western Asia,Electoral Autocracy,3050686.0,100.0,2118467913.0,694.4234554,5.418000221000002,16.84943429,58.75,3.053435115,Low income,1.631094667,-0.747,-0.317,100.0,2.055,35.4
97,Armenia,ARM,2002,Asia,Northern Africa and Western Asia,Electoral Autocracy,3033976.0,98.0,2376335048.0,783.241215,8.897299767,30.04167422,58.75,3.053435115,Lower-middle income,1.960405046,-0.747,-0.317,100.0,2.055,34.8
98,Armenia,ARM,2003,Asia,Northern Africa and Western Asia,Electoral Autocracy,3017938.0,99.22579956,2807061009.0,930.1254727,9.809300423,36.02981276,61.875,4.580152672,Lower-middle income,4.575217225,-0.747,-0.317,100.0,2.055,33.0
99,Armenia,ARM,2004,Asia,Northern Africa and Western Asia,Electoral Autocracy,3000715.0,99.24093628,3576615240.0,1191.921006,8.705699921,33.13432836,61.875,5.34351145,Lower-middle income,4.899008571,-0.747,-0.317,100.0,2.055,37.5
100,Armenia,ARM,2005,Asia,Northern Africa and Western Asia,Electoral Autocracy,2981262.0,99.8,4900469950.0,1643.756889,6.48939991,28.06712047,76.875,5.34351145,Lower-middle income,5.252983352,-0.747,-0.317,100.0,2.055,36.0
101,Armenia,ARM,2006,Asia,Northern Africa and Western Asia,Electoral Autocracy,2958301.0,99.23873901,6384451606.0,2158.148074,7.650800228,30.71873422,76.875,5.34351145,Lower-middle income,5.631787777,-0.747,-0.317,100.0,2.055,29.7
102,Armenia,ARM,2007,Asia,Northern Africa and Western Asia,Electoral Autocracy,2932615.0,99.23002625,9206301700.0,3139.28071,7.015200137999999,31.46829434,76.875,9.160305344,Lower-middle income,6.021253397000001,-0.747,-0.317,100.0,2.055,31.2
103,Armenia,ARM,2008,Asia,Northern Africa and Western Asia,Electoral Autocracy,2907615.0,99.22450256,11662040714.0,4010.861381,6.40320015,31.17850953,76.875,8.396946565,Lower-middle income,6.21,-0.747,-0.252,100.0,2.055,29.2
104,Armenia,ARM,2009,Asia,Northern Africa and Western Asia,Electoral Autocracy,2888094.0,99.22839355,8647936748.0,2994.340471,7.798299789,35.67272086,76.875,9.160305344,Lower-middle income,15.3,-0.747,-0.252,100.0,2.055,28.0
105,Armenia,ARM,2010,Asia,Northern Africa and Western Asia,Electoral Autocracy,2877314.0,99.8,9260284938.0,3218.378299,9.357099533,39.48544138,76.875,9.160305344,Lower-middle income,25.0,-0.649,-0.252,100.0,2.055,30.0
106,Armenia,ARM,2011,Asia,Northern Africa and Western Asia,Electoral Autocracy,2876536.0,99.60435486,10142111334.0,3525.8071979999995,8.007200241,33.5397039,80.0,8.396946565,Lower-middle income,32.0,-0.649,-0.252,100.0,2.055,29.4
107,Armenia,ARM,2012,Asia,Northern Africa and Western Asia,Electoral Autocracy,2884239.0,99.61703491,10619320049.0,3681.844691,6.563799857999999,28.94474863,80.0,10.6870229,Lower-middle income,37.5,-0.649,-0.252,100.0,2.055,29.6
108,Armenia,ARM,2013,Asia,Northern Africa and Western Asia,Electoral Autocracy,2897593.0,99.42,11121465767.0,3838.17388,6.7699999810000016,28.23605707,80.0,10.6870229,Lower-middle income,41.9,-0.723,-0.113,100.0,2.055,30.6
109,Armenia,ARM,2014,Asia,Northern Africa and Western Asia,Electoral Autocracy,2912403.0,99.71,11609512940.0,3986.231624,7.0809001920000005,25.75483871,80.0,10.6870229,Lower-middle income,54.62280586,-0.723,-0.113,100.0,2.055,31.5
110,Armenia,ARM,2015,Asia,Northern Africa and Western Asia,Electoral Autocracy,2925559.0,100.0,10553337673.0,3607.289299,10.7468996,28.33696628,80.0,10.6870229,Lower-middle income,59.10083377,-0.723,-0.113,100.0,2.055,32.4
111,Armenia,ARM,2016,Asia,Northern Africa and Western Asia,Electoral Autocracy,2936147.0,99.8,10546135160.0,3591.8280520000008,13.15149975,,80.0,10.6870229,Lower-middle income,64.34602977,-0.723,-0.113,100.0,2.055,32.5
112,Armenia,ARM,2017,Asia,Northern Africa and Western Asia,Electoral Autocracy,2944789.0,99.7,11527458566.0,3914.527854,12.56260014,,80.0,18.095238100000003,Lower-middle income,64.74488433,-0.747,-0.113,100.0,2.055,33.6
113,Armenia,ARM,2018,Asia,Northern Africa and Western Asia,Electoral Autocracy,2951741.0,99.9,12457941907.0,4220.540321,11.13300037,,82.5,18.095238100000003,Lower-middle income,68.24505226,0.18,0.154,100.0,2.055,34.4
114,Antigua and Barbuda,ATG,2000,North America,Latin America and Caribbean,,,97.45578003,826370370.4,10872.29295,0.0,0.0,66.25,5.263157895,Upper-middle income,,,,,,
115,Antigua and Barbuda,ATG,2001,North America,Latin America and Caribbean,,77212.0,97.60110474,800481481.5,10367.31961,0.0,0.0,66.25,5.263157895,Upper-middle income,8.899285515,,,,,
116,Antigua and Barbuda,ATG,2002,North America,Latin America and Caribbean,,78298.0,100.0,814381481.5,10401.05088,0.0,0.0,66.25,5.263157895,High income,12.5,,,,,
117,Antigua and Barbuda,ATG,2003,North America,Latin America and Caribbean,,79311.0,97.86569977,856396296.3,10797.95106,0.0,0.0,66.25,5.263157895,Upper-middle income,17.22864878,,,,,
118,Antigua and Barbuda,ATG,2004,North America,Latin America and Caribbean,,80347.0,97.98262787,919729629.6,11446.96914,0.0,0.0,66.25,10.52631579,Upper-middle income,24.26654372,,,,,
119,Antigua and Barbuda,ATG,2005,North America,Latin America and Caribbean,,81462.0,92.2,1022962963.0,12557.54785,0.0,0.0,66.25,10.52631579,High income,27.0,,,,,
120,Antigua and Barbuda,ATG,2006,North America,Latin America and Caribbean,,82715.0,100.0,1157662963.0,13995.80442,0.0,0.0,66.25,10.52631579,High income,30.0,,,,,
