,Country Name,Country Code,Continent,Year,GDP (current US$) - NY.GDP.MKTP.CD,GDP per capita (current US$) - NY.GDP.PCAP.CD,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,pol_gen,exl_gen,cddrst_soc,hogrst_soc,hosrst_soc,just_pbadm,free_acexp,free_rel,pow_sxo,exl_eco,exl_geo,exl_pol,exl_soc,labour_share,Income Classification (World Bank Definition),power_soec,power_f,suffrage_f,dmr_f,"Compulsory education, duration (years) - SE.COM.DURS","School enrollment, secondary (% gross) - SE.SEC.ENRR",domestic_movement,slave,suffrage,minwage,si02,si03,si05,si07,fiscal,tariff,ODA,No. of Refugees (No of Accepted Applications)
37,Switzerland,CHE,Europe,2000,279841000000.0,38952.0342,78.125,23.0,0.9309999999999999,0.073,1.0,,1.0,3.0239999999999996,2.963,2.6069999999999998,2.256,0.028999999999999998,0.053,0.013999999999999999,0.047,0.831518612,High income,1.2309999999999999,2.398,100.0,1.422,11.0,95.62875366,0.8029999999999999,0.929,100.0,2.0,4.1,6.0,12.7,,,,,2671.0
38,Channel Islands,CHI,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chile,CHL,South America,2000,77860932152.0,5074.902615999999,60.625,10.83333333,0.845,0.282,1.0,,1.0,2.191,2.456,2.055,0.384,0.37200000000000005,0.134,0.081,0.276,0.804975943,Upper-middle income,0.7929999999999999,1.5390000000000001,100.0,2.492,8.0,85.52158356,0.955,0.9470000000000001,100.0,1.0,1.7,7.5,13.3,145.5,,,,43.0
40,China,CHN,Asia,2000,1211350000000.0,959.3724836000001,62.5,21.78284182,0.644,0.3,1.0,1.0,1.0,-0.747,-1.005,-1.901,-0.47,0.42,0.428,0.452,0.41700000000000004,0.852569447,Lower-middle income,0.555,0.589,100.0,-0.516,9.0,60.25989914,0.28300000000000003,0.309,100.0,1.0,22.4,,,,,,,5.0
42,Cameroon,CMR,Africa,2000,10109045071.0,651.6102592,50.625,5.555555556,0.6559999999999999,0.418,0.0,1.0,1.0,-0.997,0.802,2.033,-0.133,0.813,0.8240000000000001,0.586,0.603,0.7958619720000001,Low income,-0.22699999999999998,0.622,100.0,2.021,6.0,27.57543945,0.898,0.6459999999999999,100.0,,,,,,,,,31.0
43,"Congo, Dem. Rep.",COD,Africa,2000,19088046306.0,405.21621860000005,28.125,,0.389,0.687,1.0,,1.0,-2.124,0.48,1.176,0.45899999999999996,0.8740000000000001,0.9,0.851,0.82,0.838614764,Low income,-1.012,0.38,0.0,-0.027000000000000003,6.0,,,,,,,,,,,,,113.0
44,"Congo, Rep.",COG,Africa,2000,3227927593.0,1032.137542,49.375,12.0,0.349,0.8290000000000001,1.0,,1.0,-0.9620000000000001,-0.264,1.0290000000000001,0.469,0.8690000000000001,0.8320000000000001,0.877,0.843,0.102473415,Low income,-0.88,-1.391,0.0,-0.298,10.0,,,,,,,,,,,,,49.0
45,Colombia,COL,South America,2000,99886577331.0,2520.481089,61.875,11.80124224,0.764,0.43799999999999994,1.0,,1.0,-0.596,0.797,2.144,0.304,0.598,0.469,0.174,0.35700000000000004,0.796728613,Lower-middle income,-0.069,0.961,100.0,0.37200000000000005,10.0,73.08660126,0.483,0.647,100.0,3.0,11.0,,13.2,56.6,,,,
46,Comoros,COM,Africa,2000,351136568.4,647.4258118,43.75,,0.49200000000000005,0.5660000000000001,1.0,1.0,1.0,-0.833,2.1319999999999997,-1.296,-1.432,0.535,0.386,0.474,0.444,0.8958668879999999,Low income,1.389,0.24600000000000002,0.0,0.40700000000000003,6.0,,0.584,0.635,0.0,,,,,,,,,
47,Cabo Verde,CPV,Africa,2000,539227277.6,1259.353067,63.125,11.11111111,0.733,0.262,1.0,1.0,1.0,1.1909999999999998,1.666,2.263,-0.102,0.368,0.265,0.40700000000000003,0.31,0.839024982,Lower-middle income,1.025,0.305,100.0,1.81,6.0,68.67608643,,,,,,,,,,,,
48,Costa Rica,CRI,North America,2000,15013629665.0,3789.0538880000004,77.5,19.29824561,0.948,0.07400000000000001,1.0,,1.0,2.415,3.437,1.854,0.6659999999999999,0.14,0.18,0.040999999999999995,0.054000000000000006,0.889549057,Upper-middle income,0.748,2.637,100.0,2.296,11.0,62.05680084,0.9159999999999999,0.938,100.0,3.0,3.5,10.8,16.7,100.8,,,,530.0
50,Cuba,CUB,North America,2000,30565400000.0,2747.100303,,27.62063228,0.603,0.11199999999999999,1.0,,1.0,-0.45899999999999996,-1.761,-0.14300000000000002,0.871,0.125,0.38799999999999996,0.515,0.188,0.881297909,Lower-middle income,1.768,1.359,100.0,-1.04,9.0,82.7508316,0.187,0.797,100.0,1.0,,,,,,,,68.0
52,Cayman Islands,CYM,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Cyprus,CYP,Europe,2000,9985844486.0,14388.34806,76.25,7.142857143,0.78,0.151,1.0,,0.0,1.263,1.508,0.619,0.9740000000000001,0.155,0.174,0.191,0.29100000000000004,0.788567192,High income,1.274,1.6680000000000001,100.0,-0.61,9.0,93.37213898,0.366,0.696,100.0,,,,,,,,,39.0
54,Czech Republic,CZE,Europe,2000,61828166496.0,6029.038193,73.125,15.0,0.91,0.04,1.0,1.0,1.0,1.556,3.361,2.614,2.009,0.027000000000000003,0.057,0.027999999999999997,0.019,0.7604681870000001,Upper-middle income,1.6869999999999998,1.465,100.0,2.0380000000000003,,88.31745148,0.895,0.8909999999999999,100.0,,29.3,5.4,17.4,46.8,,,,118.0
55,Germany,DEU,Europe,2000,1943150000000.0,23635.929219999998,76.875,30.94170404,0.9540000000000001,0.037000000000000005,1.0,1.0,1.0,3.918,2.3569999999999998,2.059,1.969,0.034,0.047,0.015,0.027000000000000003,0.825036667,High income,1.745,2.471,100.0,2.281,13.0,99.93065643,0.919,0.975,100.0,2.0,4.7,4.2,11.7,,,,,11432.0
56,Djibouti,DJI,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,0.5489999999999999,0.501,100.0,,,,,,,,,
57,Dominica,DMA,North America,2000,333470370.4,4787.801441,60.0,,,,,,,,,,,,,,,0.830846454,Upper-middle income,,,,,12.0,111.51306149999999,,,,,,,,,,,,
58,Denmark,DNK,Europe,2000,164159000000.0,30743.54768,91.25,37.430167600000004,0.965,0.013999999999999999,1.0,1.0,1.0,4.006,3.525,2.676,2.673,0.009000000000000001,0.057999999999999996,0.008,0.011000000000000001,0.802764393,High income,1.831,3.1439999999999997,100.0,1.574,9.0,126.9876633,0.843,0.971,100.0,2.0,,,,,,,,1329.0
59,Dominican Republic,DOM,North America,2000,24305717542.0,2869.178139,75.625,16.10738255,0.812,0.672,1.0,,1.0,0.439,1.51,1.8940000000000001,-0.366,0.7879999999999999,0.779,0.7240000000000001,0.612,0.928613665,Lower-middle income,0.23199999999999998,0.54,100.0,1.426,9.0,60.05714035,0.8140000000000001,0.745,100.0,3.0,2.6,9.4,12.1,121.6,,,,13.0
60,Algeria,DZA,Africa,2000,54790379459.0,1765.026718,40.625,3.421052632,0.583,0.389,1.0,1.0,0.0,-0.675,0.503,-1.126,-0.759,0.377,0.444,0.41200000000000003,0.345,0.72454992,Lower-middle income,0.145,0.282,100.0,-1.024,10.0,65.11698151,0.5670000000000001,0.77,100.0,,,,,,,,,20.0
66,Ecuador,ECU,South America,2000,18327764882.0,1445.279324,75.625,14.63414634,0.7809999999999999,0.35600000000000004,1.0,,1.0,0.183,1.858,1.704,-0.324,0.502,0.391,0.294,0.41100000000000003,0.6968062190000001,Lower-middle income,0.544,0.41100000000000003,100.0,1.944,10.0,57.70922852,0.861,0.7979999999999999,100.0,1.0,31.0,12.9,13.1,104.0,,,,575.0
67,"Egypt, Arab Rep.",EGY,Africa,2000,99838543960.0,1450.476242,32.5,1.982378855,0.41700000000000004,0.65,1.0,1.0,1.0,-1.357,-0.222,-0.212,-1.776,0.774,0.754,0.733,0.6729999999999999,0.880008806,Lower-middle income,-1.169,-0.512,100.0,-0.406,9.0,81.98577881,,,,,13.6,5.6,10.2,73.5,,,,3379.0
69,Eritrea,ERI,Africa,2000,706370815.6,308.1341868,66.25,14.66666667,0.381,0.72,1.0,,1.0,-1.445,-0.914,-0.733,-1.77,0.515,0.626,0.903,0.767,0.873208712,Low income,1.6280000000000001,-0.42100000000000004,0.0,-1.075,,34.55467987,0.145,0.105,0.0,,,,,,,,,0.0
70,Spain,ESP,Europe,2000,596878000000.0,14713.065709999999,94.375,28.28571429,0.94,0.10800000000000001,1.0,1.0,1.0,3.065,3.1639999999999997,2.125,1.3159999999999998,0.064,0.10300000000000001,0.027999999999999997,0.040999999999999995,0.866304337,High income,1.4869999999999999,2.134,100.0,2.625,10.0,110.26599879999999,0.948,0.902,100.0,1.0,1.2,8.5,12.4,134.9,,,,365.0
71,Estonia,EST,Europe,2000,5694069842.0,4075.970639,63.75,17.82178218,0.92,0.043,1.0,1.0,1.0,2.251,2.622,1.16,2.292,0.057999999999999996,0.075,0.045,0.17,0.835641944,Upper-middle income,1.827,1.765,100.0,2.279,9.0,93.82781219,0.9279999999999999,0.905,100.0,,1.0,12.6,13.2,,,,,
72,Ethiopia,ETH,Africa,2000,8242392104.0,124.46079089999999,50.0,7.692307692000001,0.486,0.728,1.0,1.0,1.0,-0.22,-0.258,1.77,-1.3330000000000002,0.6920000000000001,0.835,0.882,0.903,0.7777533990000001,Low income,1.203,0.588,100.0,0.109,8.0,13.53886986,0.591,0.578,100.0,0.0,,,,,,,,67.0
75,Finland,FIN,Europe,2000,125707000000.0,24285.466819999998,85.0,36.5,0.946,0.075,1.0,1.0,1.0,3.097,3.0810000000000004,2.8,1.5090000000000001,0.028999999999999998,0.054000000000000006,0.040999999999999995,0.054000000000000006,0.824297772,High income,2.3040000000000003,2.5869999999999997,100.0,2.44,9.0,124.57893370000001,0.9279999999999999,0.8959999999999999,100.0,2.0,0.6,6.3,11.6,,,,,10.0
76,Fiji,FJI,Oceania,2000,1678239218.0,2069.317455,57.5,,0.602,0.581,1.0,1.0,1.0,-0.584,-1.12,1.784,0.746,0.584,0.49,0.6829999999999999,0.6990000000000001,0.9027188820000001,Lower-middle income,0.965,0.24600000000000002,0.0,1.359,,78.35098267,0.8320000000000001,0.858,0.0,,,,,,,,,
77,France,FRA,Europe,2000,1362250000000.0,22364.02939,86.25,10.91854419,0.92,0.073,1.0,1.0,1.0,2.787,3.083,2.102,2.3280000000000003,0.059000000000000004,0.084,0.038,0.102,0.862734447,High income,1.23,2.209,100.0,2.406,10.0,105.5902176,0.9329999999999999,0.873,100.0,2.0,5.0,6.7,11.9,60.8,,,,7035.0
78,Faroe Islands,FRO,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Micronesia, Fed. Sts.",FSM,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Gabon,GAB,Africa,2000,5080483464.0,4135.99238,51.25,9.166666667000001,0.66,0.446,1.0,1.0,1.0,1.5659999999999998,1.88,2.224,0.563,0.546,0.5539999999999999,0.5820000000000001,0.473,0.421860279,Upper-middle income,0.10300000000000001,1.27,100.0,2.031,10.0,,0.9009999999999999,0.731,100.0,,6.6,,13.2,64.7,,,,0.0
81,United Kingdom,GBR,Europe,2000,1658190000000.0,28156.267410000004,86.25,18.36115326,0.887,0.165,1.0,1.0,1.0,3.367,2.7539999999999996,2.3569999999999998,1.912,0.132,0.111,0.076,0.109,0.86386361,High income,1.095,1.045,100.0,2.035,11.0,101.8960114,0.893,0.7959999999999999,100.0,3.0,2.5,6.5,13.0,,,,,14330.0
82,Georgia,GEO,Asia,2000,3057475335.0,749.9085349999999,61.25,7.234042552999999,0.772,0.198,1.0,1.0,1.0,-1.581,1.5759999999999998,-0.495,-0.225,0.315,0.317,0.374,0.298,0.872313274,Low income,0.9790000000000001,1.121,100.0,1.535,6.0,87.20838165,0.8340000000000001,0.7809999999999999,100.0,,,,,,,,,
83,Ghana,GHA,Africa,2000,4983024408.0,258.4710399,57.5,,0.8170000000000001,0.087,1.0,,1.0,-0.841,2.228,2.37,0.556,0.165,0.35100000000000003,0.177,0.174,0.8288640690000001,Low income,0.665,1.445,100.0,1.9369999999999998,9.0,35.12860107,0.9309999999999999,0.8390000000000001,100.0,,11.9,11.8,11.6,58.6,,,,435.0
84,Gibraltar,GIB,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Guinea,GIN,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,0.475,100.0,,,,,,,,,1569.0
86,"Gambia, The",GMB,Africa,2000,782915402.4,594.1493885,58.75,2.040816327,0.5329999999999999,0.48700000000000004,0.0,,0.0,-0.92,-0.5379999999999999,0.997,-1.8159999999999998,0.475,0.386,0.506,0.505,0.8098033920000001,Low income,0.002,0.341,100.0,1.445,9.0,,,,,,,,,,,,,458.0
87,Guinea-Bissau,GNB,Africa,2000,371095510.0,308.9103184,40.0,7.843137255,0.598,0.48100000000000004,1.0,1.0,1.0,-0.358,0.28,0.853,-0.9129999999999999,0.588,0.7040000000000001,0.419,0.522,0.9118161440000001,Low income,-0.445,0.723,100.0,0.7809999999999999,6.0,18.08779907,0.654,0.602,100.0,,,,,,,,,121.0
88,Equatorial Guinea,GNQ,Africa,2000,1045998496.0,1725.557584,46.25,5.0,0.406,0.627,1.0,,1.0,-1.268,-1.933,0.395,-0.852,0.742,0.752,0.865,0.8,,Lower-middle income,-1.57,0.337,100.0,-0.39299999999999996,5.0,23.488370899999996,0.281,0.735,100.0,,,,,,,,,
89,Greece,GRC,Europe,2000,130134000000.0,12042.95371,73.125,8.666666667000001,0.914,0.055999999999999994,1.0,1.0,1.0,1.156,2.863,1.383,1.516,0.084,0.054000000000000006,0.028999999999999998,0.038,,High income,1.7830000000000001,2.1319999999999997,100.0,2.119,9.0,87.81149292,0.8959999999999999,0.919,100.0,1.0,12.3,8.9,13.6,36.8,,,,216.0
90,Grenada,GRD,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Greenland,GRL,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Guatemala,GTM,North America,2000,19288827159.0,1664.298958,68.125,8.849557522000001,0.624,0.598,1.0,,1.0,-0.276,1.4409999999999998,1.5519999999999998,-0.052000000000000005,0.8490000000000001,0.701,0.434,0.82,0.893274578,Lower-middle income,0.044000000000000004,0.895,100.0,0.6759999999999999,16.0,30.38552094,0.7829999999999999,0.503,100.0,3.0,,,,,,,,20.0
93,Guam,GUM,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Guyana,GUY,South America,2000,712667896.7,954.4003180999999,86.875,18.46153846,0.821,0.444,0.0,,0.0,0.141,0.011000000000000001,2.464,0.929,0.49,0.442,0.615,0.602,0.882442982,Lower-middle income,0.75,0.537,100.0,1.734,6.0,,0.865,0.7,100.0,,,,,,,,,
96,"Hong Kong SAR, China",HKG,Asia,2000,171668000000.0,25756.663780000003,86.875,,0.925,0.064,0.0,,0.0,2.58,1.7009999999999998,1.357,0.8809999999999999,0.114,0.065,0.127,0.10800000000000001,,High income,0.589,2.4,100.0,2.244,9.0,,,,,,7.3,9.0,17.8,,,,,0.0
97,Honduras,HND,North America,2000,7186650135.0,1093.1081,66.25,9.375,0.6859999999999999,0.386,1.0,,1.0,-0.248,1.739,1.845,-0.604,0.684,0.42,0.312,0.46299999999999997,0.906938082,Lower-middle income,-1.25,0.885,100.0,1.12,9.0,,0.7879999999999999,0.718,100.0,3.0,10.6,8.8,12.3,27.7,,,,0.0
99,Croatia,HRV,Europe,2000,21633759451.0,4841.606375,67.5,20.52980132,0.917,0.191,1.0,1.0,1.0,0.711,1.758,1.7619999999999998,0.132,0.242,0.172,0.242,0.24,0.819905526,Upper-middle income,1.095,1.9469999999999998,100.0,2.147,8.0,85.52604675,0.9159999999999999,0.883,100.0,,9.5,11.9,21.3,79.9,,,,5.0
100,Haiti,HTI,North America,2000,6868666120.0,811.5343577000001,61.25,,0.528,0.564,1.0,1.0,1.0,0.995,1.392,1.5930000000000002,-0.654,0.897,0.871,,0.637,0.989910355,Low income,0.312,0.344,100.0,1.531,6.0,,0.823,0.583,100.0,1.0,,,,,,,,
101,Hungary,HUN,Europe,2000,47218405892.0,4624.281657,69.375,8.29015544,0.884,0.034,1.0,1.0,1.0,3.1430000000000002,2.892,2.6180000000000003,1.05,0.091,0.09,0.06,0.08900000000000001,0.747937345,Upper-middle income,1.158,1.749,100.0,2.3890000000000002,13.0,96.13126373,0.929,0.85,100.0,3.0,3.0,8.3,13.7,57.0,,,,186.0
106,Indonesia,IDN,Asia,2000,165021000000.0,780.1902047,50.0,8.0,0.6940000000000001,0.406,1.0,,1.0,0.214,1.681,0.44299999999999995,0.111,0.614,0.363,0.364,0.495,0.8132298309999999,Low income,0.005,1.57,100.0,0.757,,55.07712173,0.737,0.695,100.0,1.0,34.4,6.0,21.6,36.1,,,,423.0
108,Isle of Man,IMN,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
